"","V1","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush"
"154",396,2018,4038520,"Reid Herring","QB","East Carolina","American Athletic",262,0.071,0.09,-0.302
"155",448,2018,4360131,"Holton Ahlers","QB","East Carolina","American Athletic",366,0.253,0.172,0.488
"156",598,2019,4360131,"Holton Ahlers","QB","East Carolina","American Athletic",547,0.309,0.327,0.22
"157",669,2020,4360131,"Holton Ahlers","QB","East Carolina","American Athletic",289,0.158,0.154,0.198
"158",55,2015,552782,"Brogan Roback","QB","Eastern Michigan","Mid-American",391,0.246,0.26,0.116
"159",218,2016,552782,"Brogan Roback","QB","Eastern Michigan","Mid-American",433,0.336,0.328,0.387
"160",296,2017,552782,"Brogan Roback","QB","Eastern Michigan","Mid-American",445,0.199,0.209,0.034
"161",422,2018,3144983,"Tyler Wiegers","QB","Eastern Michigan","Mid-American",326,0.186,0.247,-0.204
"162",628,2019,4259127,"Mike Glass III","QB","Eastern Michigan","Mid-American",502,0.372,0.381,0.336
"163",718,2020,4244804,"Preston Hutchinson","QB","Eastern Michigan","Mid-American",284,0.357,0.353,0.369
"164",31,2015,3121647,"Treon Harris","QB","Florida","SEC",322,0.172,0.119,0.396
"165",147,2016,534770,"Austin Appleby","QB","Florida","SEC",249,0.158,0.157,0.167
"166",161,2016,546362,"Luke Del Rio","QB","Florida","SEC",214,0.191,0.199,0.013
"167",280,2017,4034948,"Feleipe Franks","QB","Florida","SEC",286,0.145,0.147,0.129
"168",474,2018,4034948,"Feleipe Franks","QB","Florida","SEC",428,0.304,0.293,0.343
"169",625,2019,4034946,"Kyle Trask","QB","Florida","SEC",417,0.366,0.395,0.119
"170",740,2020,4034946,"Kyle Trask","QB","Florida","SEC",486,0.532,0.563,0.244
"171",18,2015,550876,"Jaquez Johnson","QB","Florida Atlantic","Conference USA",335,0.107,0.113,0.089
"172",176,2016,3122713,"Jason Driskel","QB","Florida Atlantic","Conference USA",378,0.234,0.188,0.516
"173",358,2017,3122713,"Jason Driskel","QB","Florida Atlantic","Conference USA",363,0.355,0.348,0.383
"174",449,2018,4241399,"Chris Robison","QB","Florida Atlantic","Conference USA",344,0.254,0.292,0.076
"175",587,2019,4241399,"Chris Robison","QB","Florida Atlantic","Conference USA",549,0.289,0.337,-0.089
"176",656,2020,4258236,"Nick Tronti","QB","Florida Atlantic","Conference USA",202,0.045,0.052,0.022
"177",32,2015,3128843,"Alex McGough","QB","Florida International","Conference USA",465,0.178,0.163,0.287
"178",138,2016,3128843,"Alex McGough","QB","Florida International","Conference USA",328,0.113,0.11,0.143
"179",370,2017,3128843,"Alex McGough","QB","Florida International","Conference USA",430,0.398,0.377,0.524
"180",513,2018,3914395,"James Morgan","QB","Florida International","Conference USA",350,0.432,0.456,0.035
"181",584,2019,3914395,"James Morgan","QB","Florida International","Conference USA",383,0.287,0.274,0.504
"182",106,2015,515409,"Everett Golson","QB","Florida State","ACC",264,0.385,0.451,-0.147
"183",233,2016,3921561,"Deondre Francois","QB","Florida State","ACC",499,0.381,0.349,0.564
"184",286,2017,4240020,"James Blackman","QB","Florida State","ACC",356,0.173,0.207,-0.123
"185",420,2018,3921561,"Deondre Francois","QB","Florida State","ACC",468,0.182,0.2,0.034
"186",567,2019,4240020,"James Blackman","QB","Florida State","ACC",358,0.24,0.246,0.2
"187",696,2020,4360799,"Jordan Travis","QB","Florida State","ACC",229,0.28,0.148,0.505
"188",13,2015,3124529,"Kilton Anderson","QB","Fresno State","Mountain West",206,0.079,-0.013,0.462
"189",162,2016,3918038,"Chason Virgil","QB","Fresno State","Mountain West",397,0.201,0.19,0.268
"190",362,2017,3127332,"Marcus McMaryion","QB","Fresno State","Mountain West",403,0.366,0.343,0.515
"191",514,2018,3127332,"Marcus McMaryion","QB","Fresno State","Mountain West",492,0.436,0.391,0.759
"192",573,2019,4242995,"Jorge Reyna","QB","Fresno State","Mountain West",456,0.258,0.252,0.289
"193",707,2020,4243322,"Jake Haener","QB","Fresno State","Mountain West",285,0.315,0.3,0.432
"194",88,2015,530521,"Greyson Lambert","QB","Georgia","SEC",283,0.338,0.371,-0.149
"195",170,2016,4035003,"Jacob Eason","QB","Georgia","SEC",398,0.213,0.198,0.663
"196",383,2017,4240689,"Jake Fromm","QB","Georgia","SEC",342,0.465,0.457,0.537
"197",521,2018,4240689,"Jake Fromm","QB","Georgia","SEC",343,0.524,0.579,-0.064
"198",594,2019,4240689,"Jake Fromm","QB","Georgia","SEC",419,0.304,0.316,0.096
"199",204,2016,532925,"Kevin Ellison","QB","Georgia Southern","Sun Belt",245,0.294,0.391,0.211
"200",117,2015,3124848,"Nick Arbuckle","QB","Georgia State","Sun Belt",539,0.435,0.442,0.324
